City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
12,Ladario,BR,82.4,broken clouds,-19.0,-57.6,Hotel Fazenda 4 cantos
13,Saint-Philippe,RE,73.4,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
14,Saint George,US,84.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
15,Hilo,US,71.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
20,Rikitea,PF,74.91,clear sky,-23.12,-134.97,Pension Maro'i
23,Bethel,US,73.99,mist,41.37,-73.41,Courtyard by Marriott Danbury
24,Salalah,OM,77.0,light rain,17.02,54.09,HAMDAN PLAZA HOTEL
28,Sao Joao Da Barra,BR,77.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
37,Dunmore,US,82.4,broken clouds,41.42,-75.63,Radisson Lackawanna Station Hotel Scranton
39,Vaini,TO,71.6,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
46,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
47,Jamestown,US,73.0,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
49,Itarema,BR,85.93,broken clouds,-2.92,-39.92,Windvillage
50,Muros,ES,90.0,scattered clouds,42.78,-9.06,Apartment Av. Castelao
61,Kinshasa,CD,82.4,scattered clouds,-4.32,15.32,Kabinda Center
65,Angoche,MZ,75.83,clear sky,-16.23,39.91,Guest House HESADA
69,Grand-Lahou,CI,84.15,scattered clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
73,Acari,PE,76.69,clear sky,-15.43,-74.62,Hospedaje Ximens
75,Caibarien,CU,86.0,broken clouds,22.52,-79.47,La Nena
77,Maragogi,BR,78.91,overcast clouds,-9.01,-35.22,Hotel Praia Dourada
78,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
82,Puerto Ayora,EC,82.4,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
85,Poum,NC,75.65,scattered clouds,-20.23,164.02,Gîte kajeon
87,Kavieng,PG,82.13,overcast clouds,-2.57,150.8,Nusa Island Retreat
91,Luba,GQ,82.4,scattered clouds,3.46,8.55,
94,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
97,Luanda,AO,78.8,scattered clouds,-8.84,13.23,EPIC SANA Luanda
105,Owasso,US,73.99,clear sky,36.27,-95.85,Hampton Inn & Suites Tulsa North/Owasso
106,Saint-Pierre,RE,73.4,scattered clouds,-21.34,55.48,Lindsey Hôtel
109,Atuona,PF,81.23,clear sky,-9.8,-139.03,Villa Enata
110,Marsh Harbour,BS,79.77,broken clouds,26.54,-77.06,Abaco Beach Resort
114,Hue,VN,78.8,scattered clouds,16.47,107.6,Saigon Morin Hotel
115,Puli,TW,80.01,broken clouds,23.97,120.97,歐莉葉荷城堡
119,Paraiso,CR,73.4,broken clouds,9.84,-83.87,Rinconcito Verde
123,Ouango,CF,76.26,overcast clouds,4.31,22.56,
124,Cabedelo,BR,75.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
125,Torbay,CA,80.01,broken clouds,47.67,-52.73,Gallows Cove
126,Hualmay,PE,71.65,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
130,Dingle,PH,79.81,broken clouds,11.0,122.67,Camp Pasica
131,Altona,DE,71.6,clear sky,53.55,9.93,Clipper Elb-Lodge
134,Padang,ID,81.48,overcast clouds,-0.95,100.35,Mercure Padang
135,Itoman,JP,77.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
139,Acarau,BR,85.96,broken clouds,-2.89,-40.12,castelo pizzaria
141,Pangkalanbuun,ID,76.3,clear sky,-2.68,111.62,Grand Kecubung Hotel
145,Port-Gentil,GA,84.2,scattered clouds,-0.72,8.78,Fengshui Residence
146,Carballo,ES,90.0,few clouds,43.21,-8.69,Pazo do Souto
147,Kapaa,US,73.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
151,Gwadar,PK,87.55,clear sky,25.12,62.33,Sadaf Resort
154,Umm Lajj,SA,81.05,scattered clouds,25.02,37.27,Tanal Hotel Apartment
156,Yangjiang,CN,80.2,overcast clouds,21.85,111.97,HUALUXE Yangjiang City Center
160,Kawalu,ID,74.64,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
161,Touros,BR,77.0,moderate rain,-5.2,-35.46,INN NEW HORIZON
164,Lorengau,PG,81.48,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
165,Newport,GB,75.2,clear sky,51.59,-3.0,ibis budget Newport
177,Nabire,ID,76.75,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
178,Buala,SB,81.34,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
183,South Venice,US,89.01,broken clouds,27.05,-82.42,Rodeway Inn
184,Ikom,NG,84.45,overcast clouds,5.97,8.71,Reho Farm & Resort
185,Kimbe,PG,75.87,broken clouds,-5.55,150.14,Kimbe Bay Hotel
187,Ixtapa,MX,81.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
188,San Patricio,MX,73.4,clear sky,19.22,-104.7,Hotel Cabo Blanco
189,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
193,Demba,CD,84.67,overcast clouds,-5.51,22.27,
197,Mindelo,CV,84.2,few clouds,16.89,-24.98,Hotel Gaudi
202,Havelock,US,82.4,broken clouds,34.88,-76.9,Holiday Inn Express and Suites Havelock
203,Kuching,MY,78.8,few clouds,1.55,110.33,Hilton Kuching
206,Vao,NC,75.2,broken clouds,-22.67,167.48,Hotel Kou-Bugny
