City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
0,Timmins,CA,48.47,-81.33,53.6,53.6,93,90,8.05,light rain,0.0,0.0,2020-05-29 15:51:19
1,Katsuura,JP,35.13,140.3,68.0,66.0,88,75,6.93,broken clouds,0.0,0.0,2020-05-29 15:51:19
2,Ushuaia,AR,-54.8,-68.3,44.6,44.6,56,75,9.17,broken clouds,0.0,0.0,2020-05-29 15:51:19
3,Daru,PG,-9.08,143.21,78.94,78.94,88,98,14.74,light rain,0.5,0.0,2020-05-29 15:51:19
4,Ketchikan,US,55.34,-131.65,55.4,51.8,71,40,13.87,scattered clouds,0.0,0.0,2020-05-29 15:50:04
5,Hermanus,ZA,-34.42,19.23,59.0,59.0,98,86,1.9,overcast clouds,0.0,0.0,2020-05-29 15:51:19
6,Kodiak,US,57.79,-152.41,50.0,50.0,66,90,4.7,overcast clouds,0.0,0.0,2020-05-29 15:51:19
7,Georgetown,MY,5.41,100.34,84.2,82.0,83,20,8.05,few clouds,0.0,0.0,2020-05-29 15:51:19
8,Chuy,UY,-33.7,-53.46,67.39,67.39,65,62,5.5,broken clouds,0.0,0.0,2020-05-29 15:51:20
9,Cherskiy,RU,68.75,161.3,42.53,42.53,64,0,8.46,clear sky,0.0,0.0,2020-05-29 15:51:20
10,Mugumu,TZ,-1.85,34.7,67.28,67.28,67,100,7.05,overcast clouds,0.0,0.0,2020-05-29 15:51:20
11,Sydney,AU,-33.87,151.21,55.4,50.0,93,40,6.93,scattered clouds,0.0,0.0,2020-05-29 15:50:03
12,Ladario,BR,-19.0,-57.6,82.4,82.4,48,82,9.17,broken clouds,0.0,0.0,2020-05-29 15:51:20
13,Saint-Philippe,RE,-21.36,55.77,73.4,61.0,78,38,6.93,scattered clouds,0.0,0.0,2020-05-29 15:51:20
14,Saint George,US,37.1,-113.58,84.99,78.8,22,1,2.21,clear sky,0.0,0.0,2020-05-29 15:50:55
15,Hilo,US,19.73,-155.09,71.6,66.99,78,90,5.82,overcast clouds,0.0,0.0,2020-05-29 15:51:20
