City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Deputatskiy,RU,2020-05-28 19:12:15,69.3,139.9,30.78,98,100,5.39
1,Carnarvon,AU,2020-05-28 19:12:15,-24.87,113.63,64.6,64,0,11.34
2,Jamestown,US,2020-05-28 19:09:55,42.1,-79.24,71.01,94,90,5.82
3,Victoria,HK,2020-05-28 19:11:21,22.29,114.16,80.01,88,27,10.0
4,Albany,US,2020-05-28 19:08:38,42.6,-73.97,80.01,75,70,1.01
5,Puerto Ayora,EC,2020-05-28 19:12:15,-0.74,-90.35,80.6,69,75,10.29
6,Khatanga,RU,2020-05-28 19:12:15,71.97,102.5,35.73,95,100,14.09
7,Vaini,TO,2020-05-28 19:12:15,-21.2,-175.2,71.6,94,75,4.7
8,Zwedru,LR,2020-05-28 19:12:16,6.07,-8.13,75.83,95,100,4.14
9,Rocha,UY,2020-05-28 19:12:16,-34.48,-54.33,66.43,67,0,1.81
10,Punta Arenas,CL,2020-05-28 19:11:55,-53.15,-70.92,42.8,60,94,13.87
11,Busselton,AU,2020-05-28 19:12:16,-33.65,115.33,61.0,71,11,20.29
12,Norman Wells,CA,2020-05-28 19:12:16,65.28,-126.83,53.6,40,5,10.29
13,Matara,LK,2020-05-28 19:12:16,5.95,80.54,79.27,88,100,16.24
14,Aranos,NA,2020-05-28 19:12:16,-24.13,19.12,58.41,30,0,8.16
15,Haines Junction,CA,2020-05-28 19:12:16,60.75,-137.51,63.45,29,93,7.54
16,Rio Grande,BR,2020-05-28 19:07:37,-32.03,-52.1,73.4,49,0,9.17
17,Iquique,CL,2020-05-28 19:12:17,-20.22,-70.14,71.6,60,40,8.05
18,Rikitea,PF,2020-05-28 19:12:17,-23.12,-134.97,76.71,85,4,8.03
19,Gizo,SB,2020-05-28 19:12:17,-8.1,156.84,82.69,75,100,5.57
20,Mataura,NZ,2020-05-28 19:12:17,-46.19,168.86,40.59,93,48,0.94
21,College,US,2020-05-28 19:11:00,64.86,-147.8,60.01,44,90,5.82
22,East London,ZA,2020-05-28 19:12:17,-33.02,27.91,68.0,56,99,12.39
23,Georgetown,MY,2020-05-28 19:12:17,5.41,100.34,77.0,100,40,7.61
24,Kochi,IN,2020-05-28 19:12:18,9.94,76.26,78.8,94,90,9.75
25,Berlevag,NO,2020-05-28 19:12:18,70.86,29.09,43.75,74,90,22.5
26,Aswan,EG,2020-05-28 19:12:18,24.09,32.91,86.41,13,0,20.45
27,Avarua,CK,2020-05-28 19:12:18,-21.21,-159.78,77.0,94,59,12.75
28,Airai,TL,2020-05-28 19:12:18,-8.93,125.41,57.36,100,99,2.13
29,Putina,PE,2020-05-28 19:12:18,-15.47,-69.43,47.68,45,44,3.71
30,Warragul,AU,2020-05-28 19:10:33,-38.17,145.93,46.0,91,0,1.97
31,Bridgetown,BB,2020-05-28 19:10:57,13.1,-59.62,84.2,70,40,17.22
32,Egvekinot,RU,2020-05-28 19:12:19,66.32,-179.17,30.13,100,100,4.34
33,Torbay,CA,2020-05-28 19:10:06,47.67,-52.73,59.0,93,90,12.75
34,Port Alfred,ZA,2020-05-28 19:12:19,-33.59,26.89,64.99,68,100,1.01
35,Lilongwe,MW,2020-05-28 19:12:19,-13.97,33.79,67.05,77,7,3.4
36,Kodiak,US,2020-05-28 19:12:19,57.79,-152.41,57.2,41,75,13.87
37,Ust-Nera,RU,2020-05-28 19:12:19,64.57,143.2,47.37,79,100,4.54
38,Hermanus,ZA,2020-05-28 19:12:19,-34.42,19.23,55.99,95,100,10.0
39,Bredasdorp,ZA,2020-05-28 19:12:19,-34.53,20.04,64.4,63,100,21.92
40,Cape Town,ZA,2020-05-28 19:12:20,-33.93,18.42,61.0,100,90,18.34
41,Nyimba,ZM,2020-05-28 19:12:20,-14.56,30.81,71.29,65,0,8.55
42,Mahebourg,MU,2020-05-28 19:12:20,-20.41,57.7,75.2,83,40,12.75
43,Pochutla,MX,2020-05-28 19:12:20,15.74,-96.47,93.0,62,20,13.87
44,Mahanje,TZ,2020-05-28 19:12:20,-9.93,35.33,63.63,92,0,2.53
45,Bakel,SN,2020-05-28 19:12:20,14.9,-12.46,100.42,19,33,1.23
46,Soltsy,RU,2020-05-28 19:12:21,58.12,30.32,51.89,80,100,6.58
47,Ahipara,NZ,2020-05-28 19:12:21,-35.17,173.17,60.22,92,100,4.23
48,Ribeira Grande,PT,2020-05-28 19:12:21,38.52,-28.7,64.4,55,20,14.99
49,Alice Springs,AU,2020-05-28 19:12:21,-23.7,133.88,44.6,56,0,3.36
50,Klaksvik,FO,2020-05-28 19:12:21,62.23,-6.59,48.2,100,100,9.17
51,Hobart,AU,2020-05-28 19:07:39,-42.88,147.33,55.99,71,75,10.29
52,Mangai,CD,2020-05-28 19:12:21,-4.05,19.53,78.31,70,10,0.76
53,Bandipur,NP,2020-05-28 19:12:22,27.93,84.42,62.42,98,100,3.58
54,Leningradskiy,RU,2020-05-28 19:12:22,69.38,178.42,35.33,85,0,4.97
55,Valdivia,CL,2020-05-28 19:12:22,-39.81,-73.25,51.8,76,90,5.41
